folder,file_type,contest_type,file
Week 1,contest-standings,million,https://drive.google.com/file/d/1-1A9ZB48GE62r3EOF9R_8C9Op3d4-f21/view?usp=sharing
Week 2,contest-standings,million,https://drive.google.com/file/d/1txJaMUxNYR62SQLXz6Fg0tZnFxxM_I-Q/view?usp=sharing
Week 3,contest-standings,million,https://drive.google.com/file/d/1lgvbi8LOez1GmbTiIb19JBN3lsulvkAG/view?usp=sharing
Week 4,contest-standings,million,https://drive.google.com/file/d/13diE1zzK9JqOsOj91zG6mEKTkEbgPvmA/view?usp=sharing
Week 5,contest-standings,million,https://drive.google.com/file/d/1bkstPKA1oGxYr0ax2TV9DDN5qh8tK4A8/view?usp=sharing
Week 6,contest-standings,million,https://drive.google.com/file/d/153P5Xw91iPOmVU_so81XI7S7kxdpwCpz/view?usp=sharing
Week 7,contest-standings,million,https://drive.google.com/file/d/1f596NSAmfhEOGL_RzHAzajaKNZ83ML6s/view?usp=sharing
Week 1,payouts,million,https://drive.google.com/file/d/10dOxa8J7oie5iadqN26dX7K-XoXns8C9/view?usp=sharing
Week 2,payouts,million,https://drive.google.com/file/d/1qn80Lk-_h1HmhtbLiiw3WSFSBaJK_Fmb/view?usp=sharing
Week 3,payouts,million,https://drive.google.com/file/d/1c6ynPtQtT8leNmzSLw5el-8x9o6QueEb/view?usp=sharing
Week 4,payouts,million,https://drive.google.com/file/d/1QcOWzhq6mJHQjn7MR2ZgSrQMYVFw1k6Z/view?usp=sharing
Week 5,payouts,million,https://drive.google.com/file/d/1fZXTTFlyrAf5rfuEGqWHPPSZc2mzi_6z/view?usp=sharing
Week 6,payouts,million,https://drive.google.com/file/d/1hnm5tmisTt2zZdHcDyFMPdmHQ_mq92Rf/view?usp=sharing
Week 7,payouts,million,https://drive.google.com/file/d/1bG2cKOFN3xiBwTbM39pvZ0yGqF2yONeH/view?usp=sharing
