Austin Ekeler,9
Allen Robinson II,1
Cole Kmet,1
Tom Brady,3
Lions ,1
Antonio Brown,64
Eagles ,4
WAS Football Team ,2
Rex Burkhead,45
Giants ,18
Michael Carter,2
Devin Singletary,4
Keenan Allen,1
Braxton Berrios,1
Chiefs ,5
Seahawks ,18
Zach Pascal,14
Hunter Henry,29
Justin Herbert,2
Michael Gallup,40
Cole Beasley,21
Amari Cooper,51
Kyle Pitts,3
Bears ,15
Tyreek Hill,73
Gerald Everett,1
Saints ,16
Ronald Jones II,12
49ers ,14
Patriots ,1
Zach Ertz,1
Chase Edmonds,145
Gabriel Davis,25
Boston Scott,15
Rhamondre Stevenson,1
Michael Pittman Jr.,16
Bills ,4
Panthers ,14
Darrel Williams,4
Stefon Diggs,25
Jonathan Taylor,7
Alvin Kamara,25
Stephen Anderson,22
A.J. Brown,9
Byron Pringle,1
Ja'Marr Chase,1
Tyler Boyd,1
Titans ,2
Sony Michel,2
Dalton Schultz,8
Jakobi Meyers,85
Tyler Lockett,4
Brandon Bolden,9
Rob Gronkowski,54
Deonte Harris,2
Trey Lance,57
Damien Harris,12
Joe Burrow,1
Jonnu Smith,7
David Montgomery,14
Buccaneers ,1
Van Jefferson Jr.,1
Kendrick Bourne,1
C.J. Uzomah,14
Dawson Knox,6
Courtland Sutton,6
Russell Gage,2
Dak Prescott,73
Tee Higgins,8
Josh Allen,5
Kyler Murray,2
Cooper Kupp,3
Ezekiel Elliott,3
Tyler Higbee,2
Mike Williams,19
CeeDee Lamb,13
Travis Kelce,1
Chargers ,13
Eli Mitchell,19
Marquez Callaway,1
Colts ,10
Christian Kirk,14
Dolphins ,12
Brandin Cooks,22
Dallas Goedert,48
Patrick Mahomes,7
