Austin Ekeler,1
Allen Robinson II,2
Damien Williams,19
Cole Kmet,2
Mike Evans,27
Tom Brady,2
K.J. Osborn,7
Antonio Brown,13
Josh Reynolds,5
Josh Jacobs,17
Cowboys ,2
Chuba Hubbard,1
Steelers ,18
Dan Arnold,36
Browns ,4
Amari Cooper,68
Ross Dwelley,9
Justin Jefferson,5
Derek Carr,30
Cardinals ,10
Miles Sanders,1
Saints ,27
Chris Godwin,38
James Robinson,8
Darnell Mooney,7
Nelson Agholor,1
Kadarius Toney,8
Derrick Henry,32
Patriots ,4
Zach Ertz,9
Chase Edmonds,33
Robby Anderson,41
Vikings ,14
Panthers ,19
Marvin Jones Jr.,15
Saquon Barkley,50
A.J. Green,3
Aaron Jones,2
Ja'Marr Chase,4
Titans ,8
A.J. Brown,30
Deebo Samuel,2
Tyler Boyd,8
Raiders ,7
DeVonta Smith,10
Jakobi Meyers,57
Kenny Golladay,7
Dalton Schultz,1
Davante Adams,36
Alexander Mattison,148
DJ Moore,8
Randall Cobb,9
Daniel Jones,1
Mike Gesicki,2
Jalen Hurts,13
Jaguars ,3
Cameron Brate,4
Joe Burrow,3
Damien Harris,7
Trey Lance,9
Henry Ruggs III,26
Mac Jones,1
Kendrick Bourne,1
C.J. Uzomah,3
Dak Prescott,52
Maxx Williams,23
Tee Higgins,1
Kyler Murray,3
Adam Thielen,17
Tyler Conklin,27
Texans ,13
Evan Engram,4
Ezekiel Elliott,9
Bryan Edwards,30
DeAndre Hopkins,23
Trevor Lawrence,36
CeeDee Lamb,32
Mike Williams,8
Chargers ,20
Eli Mitchell,1
Christian Kirk,8
Dolphins ,1
Leonard Fournette,1
Brandin Cooks,1
Joe Mixon,4
Darren Waller,38
